salary_rank,name,team,position,age,salary
1,Mike Trout,LAA,CF,29,37116666
2,Jacob deGrom,NYM,SP,33,36000000
2,Gerrit Cole,NYY,SP,30,36000000
4,Nolan Arenado,COL,3B,30,35000000
4,Stephen Strasburg,WSH,SP,32,35000000
4,Zack Greinke,HOU,SP,37,35000000
7,Max Scherzer,WSH,SP,36,34503480
8,Justin Verlander,HOU,SP,38,33000000
9,Manny Machado,SD,3B,28,32000000
9,David Price,LAD,SP,35,32000000
11,Clayton Kershaw,LAD,SP,33,31000000
12,Albert Pujols,LAA,1B,41,30000000
12,Chris Sale,BOS,SP,32,30000000
12,Miguel Cabrera,DET,DH,38,30000000
15,Giancarlo Stanton,NYY,DH,31,29000000
15,Jose Altuve,HOU,2B,31,29000000
17,Anthony Rendon,LAA,3B,31,28071428
18,Bryce Harper,PHI,RF,28,27538462
19,Paul Goldschmidt,STL,1B,33,26000000
20,Joey Votto,CIN,1B,37,25000000
21,Patrick Corbin,WSH,SP,31,24416666
22,George Springer,TOR,CF,31,23666666
23,Jason Heyward,CHC,RF,31,23500000
24,Justin Upton,LAA,LF,33,23000000
25,Wil Myers,SD,LF,30,22500000
25,Mookie Betts,LAD,RF,28,22500000
25,Zack Wheeler,PHI,SP,31,22500000
28,Freddie Freeman,ATL,1B,31,22359375
29,Francisco Lindor,NYM,SS,27,22300000
30,Buster Posey,SF,C,34,22177777
31,Yu Darvish,SD,SP,34,22000000
32,Charlie Blackmon,COL,RF,35,21333333
33,Chris Davis,BAL,1B,35,21065362
34,Eric Hosmer,SD,1B,31,21000000
34,Johnny Cueto,SF,SP,35,21000000
34,Josh Donaldson,MIN,3B,35,21000000
37,Xander Bogaerts,BOS,SS,28,20000000
37,Kenley Jansen,LAD,RP/CL,33,20000000
37,Hyun-Jin Ryu,TOR,SP,34,20000000
37,Andrew McCutchen,PHI,LF,34,20000000
37,J.T. Realmuto,PHI,C,30,20000000
42,Kris Bryant,CHC,3B,29,19500000
43,J.D. Martinez,BOS,DH,33,19350000
44,Madison Bumgarner,ARI,SP,31,19000000
45,Marcus Stroman,NYM,SP,30,18900000
45,Kevin Gausman,SF,SP,30,18900000
47,Trevor Story,COL,SS,28,18500000
47,Evan Longoria,SF,3B,35,18500000
47,Kyle Seager,SEA,3B,33,18500000
47,Matt Carpenter,STL,3B,35,18500000
51,Yasmani Grandal,CHW,C,32,18250000
52,A.J. Pollock,LAD,LF,33,18000000
52,Marcus Semien,TOR,SS,30,18000000
52,Dallas Keuchel,CHW,SP,33,18000000
55,Jose Abreu,CHW,1B,34,17666666
56,Aroldis Chapman,NYY,RP/CL,33,17200000
56,Brandon Belt,SF,1B,33,17200000
58,Nathan Eovaldi,BOS,SP,31,17000000
59,Khris Davis,OAK,DH,33,16750000
59,Miles Mikolas,STL,SP,32,16750000
61,Anthony Rizzo,CHC,1B,31,16500000
61,Yusei Kikuchi,SEA,SP,30,16500000
61,Dexter Fowler,STL,RF,35,16500000
64,Cody Bellinger,LAD,CF,25,16100000
65,Craig Kimbrel,CHC,RP/CL,33,16000000
65,Lorenzo Cain,MIL,CF,35,16000000
67,Danny Duffy,KC,SP,32,15500000
68,Brandon Crawford,SF,SS,34,15200000
69,Alex Cobb,BAL,SP,33,15000000
69,D.J. LeMahieu,NYY,2B,32,15000000
69,Charlie Morton,ATL,SP,37,15000000
72,Jean Segura,PHI,SS,31,14850000
73,Elvis Andrus,TEX,SS,32,14250000
74,Salvador Perez,KC,C,31,14200000
75,Kyle Hendricks,CHC,SP,31,14000000
75,Christian Yelich,MIL,LF,29,14000000
75,Nick Castellanos,CIN,RF,29,14000000
75,Mike Moustakas,CIN,2B,32,14000000
79,Corey Seager,LAD,SS,27,13750000
80,Zack Britton,NYY,RP,33,13000000
80,Trea Turner,WSH,SS,28,13000000
80,Will Smith,ATL,RP,31,13000000
83,Alex Bregman,HOU,3B,27,12666666
84,Starling Marte,MIA,CF,32,12500000
85,Rougned Odor,TEX,2B,27,12333333
86,Michael Conforto,NYM,RF,28,12250000
86,Aaron Nola,PHI,SP,28,12250000
88,Dustin Pedroia,BOS,2B,37,12125000
89,Carlos Carrasco,NYM,SP,34,12000000
89,Tanner Roark,TOR,SP,34,12000000
89,Andrew Miller,STL,RP,36,12000000
92,Carlos Martinez,STL,SP,29,11700000
93,Jeurys Familia,NYM,RP,31,11666668
94,Kevin Kiermaier,TB,CF,31,11666666
95,Javier Baez,CHC,SS,28,11650000
96,Gregory Polanco,PIT,RF,29,11600000
97,Liam Hendriks,CHW,RP/CL,32,11333333
98,Blake Snell,SD,SP,28,11100000
99,Corey Kluber,NYY,SP,35,11000000
99,Drew Smyly,ATL,SP,32,11000000
99,Miguel Sano,MIN,1B,28,11000000
102,Aaron Hicks,NYY,CF,31,10785714
